,クラブ名,コースタイプ,パー数
0,アーレックスゴルフ倶楽部(閉鎖),アウトのコース情報,"[4, 5, 4, 3, 5, 4, 3, 4, 4]"
0,アーレックスゴルフ倶楽部(閉鎖),インのコース情報,"[4, 4, 3, 4, 5, 4, 3, 5, 4]"
0,阿寒カントリークラブ,マリモのコース情報,"[5, 4, 3, 4, 4, 4, 5, 3, 4]"
0,阿寒カントリークラブ,丹頂のコース情報,"[5, 4, 4, 3, 4, 5, 4, 3, 4]"
0,阿寒カントリークラブ,ピリカのコース情報,"[5, 4, 4, 3, 4, 4, 5, 3, 4]"
0,旭川国際カントリークラブ,アウトのコース情報,"[5, 4, 3, 4, 5, 4, 4, 3, 4]"
0,旭川国際カントリークラブ,インのコース情報,"[4, 4, 4, 3, 5, 4, 3, 4, 5]"
0,旭川ゴルフ倶楽部,アウトのコース情報,"[4, 5, 5, 3, 4, 3, 4, 4, 4]"
0,旭川ゴルフ倶楽部,インのコース情報,"[4, 5, 3, 4, 4, 4, 4, 3, 5]"
0,旭川たかすゴルフクラブ,アウトのコース情報,"[5, 4, 4, 3, 4, 4, 3, 5, 4]"
0,旭川たかすゴルフクラブ,インのコース情報,"[4, 3, 4, 4, 5, 4, 4, 3, 5]"
0,旭川メモリアルカントリークラブ,アウトのコース情報,"[4, 4, 5, 4, 3, 4, 4, 3, 5]"
0,旭川メモリアルカントリークラブ,インのコース情報,"[4, 4, 5, 3, 4, 4, 5, 3, 4]"
