,address,courseName,uuid
0,沖縄県国頭郡恩納村字冨着1043,PGMゴルフリゾート沖縄,980503
1,沖縄県名護市字安部156-2,カヌチャリゾート　カヌチャゴルフコース,980505
3,沖縄県名護市字喜瀬1107－1,かねひで喜瀬カントリークラブ,985301
6,岩手県一関市萩荘字黒木1-4,一関カントリークラブ,220201
7,岩手県八幡平市大更47-34-2,南部富士カントリークラブ,224101
8,岩手県九戸郡軽米町大字円子2－4－1,ニュー軽米カントリークラブ,221102
13,群馬県渋川市赤城町北赤城山15-64,ノーザンカントリークラブ赤城ゴルフ場,334501
14,群馬県吾妻郡東吾妻町岡崎1301,伊香保ゴルフ倶楽部,330203
15,群馬県高崎市吉井町岩崎2179,サンコー72カントリークラブ,332101
17,群馬県藤岡市下日野字恋の沢1581,グリーンパークカントリークラブ,331304
20,群馬県前橋市富士見町赤城山2036,赤城国際カントリークラブ,330101
21,群馬県高崎市吉井町長根2718,関越ハイランドゴルフクラブ,331101
24,群馬県渋川市伊香保町伊香保654,伊香保カントリークラブ,330201
26,群馬県藤岡市浄法寺2827,上武カントリークラブ,332202
30,群馬県渋川市川島2470-8,伊香保国際カンツリークラブ,330202
33,群馬県太田市西長岡町1524,太田双葉カントリークラブ,330502
37,奈良県天理市山田町888番地,ナパラゴルフクラブ 一本松コース,651502
38,奈良県奈良市荻町709,奈良名阪ゴルフクラブ（旧奈良OGMGC）,656401
39,奈良県天理市福住町7453,春日台カントリークラブ,651101
40,奈良県奈良市下狭川町1824,木津川カントリー倶楽部,651201
41,奈良県奈良市下深川町850-6,奈良若草カントリー倶楽部,654110
43,奈良県奈良市月ケ瀬石打1456,ＫＯＭＡカントリークラブ,651501
46,奈良県吉野郡吉野町色生810-1,グランデージゴルフ倶楽部,651301
50,奈良県五條市今井町1141,奈良カントリークラブ,654102
55,栃木県真岡市三谷827,ゴールデンレイクスカントリークラブ,321503
56,栃木県栃木市皆川城内町2498,大平台カントリークラブ,320503
57,栃木県さくら市穂積533-1,喜連川カントリー倶楽部,321202
58,栃木県鹿沼市西鹿沼町入山1140-2,広陵カントリークラブ,321501
59,栃木県鹿沼市楡木町1475,鹿沼72カントリークラブ,321102
60,栃木県宇都宮市新里町甲1081,TCC　鶴カントリー倶楽部,323302
61,栃木県那須烏山市大桶2401,烏山城カントリークラブ,321105
63,栃木県鹿沼市藤江町1545-2,鹿沼カントリー倶楽部,321101
64,栃木県那須塩原市折戸148,塩原カントリークラブ,322201
65,栃木県芳賀郡茂木町大字下菅又735,関東国際カントリークラブ,321106
66,栃木県栃木市尻内町1757-1,都賀カンツリー倶楽部,323301
67,栃木県宇都宮市上戸祭町3100,宇都宮カンツリークラブ,320301
68,栃木県鹿沼市酒野谷1240,皐月ゴルフ倶楽部鹿沼コース,322101
70,栃木県さくら市鷲宿3880,大日向カントリー倶楽部,320502
71,栃木県日光市長畑4337,サンレイクカントリークラブ,322106
82,栃木県栃木市千塚町561,ゴールド栃木プレジデントカントリークラブ,325303
88,静岡県沼津市足高字尾上441,沼津ゴルフクラブ,444302
89,静岡県湖西市白須賀5739,浜名湖カントリークラブ,445105
90,静岡県富士宮市猪之頭2971,朝霧ジャンボリーゴルフクラブ,440102
91,静岡県富士宮市西山２６６２,富士チサンカントリークラブ,445311
92,静岡県伊豆市大平柿木1190－1,フジ天城ゴルフ倶楽部,440108
93,静岡県静岡市清水区宍原1783-1,富嶽カントリークラブ,445302
94,静岡県伊豆の国市中1613,伊豆にらやまカントリークラブ,440206
96,静岡県御殿場市東山2472,富士カントリークラブ,445306
97,静岡県沼津市宮本字元野512,愛鷹シックスハンドレッドクラブ,440104
100,静岡県伊豆の国市浮橋１１９８,伊豆大仁カントリークラブ,440201
104,静岡県裾野市桃園300,東名カントリークラブ,443501
106,静岡県富士市北松野4222-10,リバー富士カントリークラブ,448201
110,静岡県御殿場市神山1924-2,御殿場ゴルフ倶楽部,441501
114,北海道北広島市島松49－5,札幌国際カントリークラブ島松コース,112104
116,北海道茅部郡森町赤井川252,大沼レイクゴルフクラブ,110512
117,北海道恵庭市盤尻53-2,恵庭カントリー倶楽部,110403
118,北海道旭川市神居町台場326,旭川ゴルフ倶楽部,110103
119,北海道釧路市阿寒町舌辛14番地,阿寒カントリークラブ,110101
120,北海道阿寒郡鶴居村字幌呂59-1,釧路風林カントリークラブ,111303
123,北海道美唄市字茶志内250－1,ゴルフ５カントリー美唄コース （旧アルペンGC美唄）,110112
124,北海道北広島市三島113,クラークカントリークラブ,111304
125,北海道阿寒郡鶴居村下幌呂,釧路カントリークラブ,111301
126,北海道札幌市清田区有明463-7,札幌芙蓉カントリー倶楽部,112114
129,北海道石狩市八幡町高岡地蔵沢360番地,札幌スコットヒルゴルフ倶楽部,110202
135,北海道小樽市銭函3－177,小樽カントリー倶楽部 旧コース,110514
136,北海道上川郡鷹栖町ひばりが丘,セント旭川ゴルフ倶楽部,112401
137,鹿児島県日置市東市来町伊作田6000,チェリーゴルフ鹿児島シーサイドコース,971101
138,鹿児島県姶良市蒲生町米丸2448,蒲生カントリークラブ,971106
141,鹿児島県奄美市名瀬大熊小又346-1,奄美カントリークラブ,970101
143,山梨県南都留郡富士河口湖町船津6236,河口湖カントリークラブ,431102
144,山梨県甲斐市牛句3859,昇仙峡カントリークラブ,432202
146,山梨県北杜市高根町清里3545－5,丘の公園　清里ゴルフコース,430502
149,神奈川県相模原市緑区牧野6977－1,神奈川カントリークラブ,371101
150,神奈川県相模原市緑区牧野14342,相模湖カントリークラブ,372102
151,神奈川県中郡大磯町黒岩169,レイクウッドゴルフクラブ,378401
152,神奈川県愛甲郡愛川町三増2607,東名厚木カントリー倶楽部,373501
154,神奈川県秦野市西田原花見平1400-5,秦野カントリークラブ,375106
155,神奈川県伊勢原市子易132,伊勢原カントリークラブ,370201
156,群馬県富岡市小桑原432,PGM富岡カントリークラブ　ノースコース,338401
157,神奈川県相模原市緑区三ヶ木492,津久井湖ゴルフ倶楽部,373301
158,神奈川県秦野市横野500,大秦野カントリークラブ,370501
160,神奈川県厚木市中荻野字細谷1941-1,中津川カントリークラブ,374102
162,神奈川県厚木市上荻野4088,大厚木カントリークラブ本コース,373101
171,千葉県夷隅郡大多喜町下大多喜2419,大多喜カントリークラブ,350501
172,千葉県市原市古敷谷975,かずさカントリークラブ,351103
173,千葉県勝浦市市野川628,勝浦ゴルフ倶楽部,350505
174,千葉県君津市鹿野山288,鹿野山ゴルフ倶楽部,351107
175,千葉県君津市大坂富士山1639,上総富士ゴルフクラブ,351105
177,千葉県印西市造谷495-2,総武カントリークラブ・北コース,352507
184,石川県羽咋郡宝達志水町米出ワ-1,能登カントリークラブ,554501
185,石川県河北郡津幡町大坪井1番地,石川ゴルフ倶楽部,550201
186,石川県かほく市気屋亥4,金沢カントリー倶楽部,551105
