,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,コース１,コース１.1,コース１.2,コース１.3,コース2,コース2.1,コース2.2,コース2.3,Par,Yards,CourseRating,SlopeRating
17,3955,3955,東名厚木カントリー倶楽部,OUT,Aグリーン,バック,2016.06.07,IN,Aグリーン,バック,2016.06.07,72,6532,71.3,127
18,3956,3956,東名厚木カントリー倶楽部,OUT,Aグリーン,レギュラー,2016.06.07,IN,Aグリーン,レギュラー,2016.06.07,72,6256,70.1,125
19,3957,3957,東名厚木カントリー倶楽部,OUT,Aグリーン,フロント,2016.06.07,IN,Aグリーン,フロント,2016.06.07,72,5932,68.7,122
20,3958,3958,東名厚木カントリー倶楽部,OUT,Aグリーン,レディース,2016.06.07,IN,Aグリーン,レディース,2016.06.07,72,5243,65.7,116
21,3959,3959,東名厚木カントリー倶楽部,OUT,Bグリーン,バック,2016.06.07,IN,Bグリーン,バック,2016.06.07,72,6255,69.9,126
22,3960,3960,東名厚木カントリー倶楽部,OUT,Bグリーン,レギュラー,2016.06.07,IN,Bグリーン,レギュラー,2016.06.07,72,5979,68.8,123
23,3961,3961,東名厚木カントリー倶楽部,OUT,Bグリーン,フロント,2016.06.07,IN,Bグリーン,フロント,2016.06.07,72,5655,67.3,120
24,3962,3962,東名厚木カントリー倶楽部,OUT,Bグリーン,レディース,2016.06.07,IN,Bグリーン,レディース,2016.06.07,72,4966,64.3,114
25,6345,6345,豊田カントリー倶楽部,OUT,ベント,バック,2004.11.29,IN,ベント,バック,2004.11.29,72,6403,71.0,128
26,6346,6346,豊田カントリー倶楽部,OUT,ベント,レギュラー,2004.11.29,IN,ベント,レギュラー,2004.11.29,72,6117,69.8,124
27,6347,6347,豊田カントリー倶楽部,OUT,ベント,フロント,2004.11.29,IN,ベント,フロント,2004.11.29,72,5795,68.6,121
28,6348,6348,豊田カントリー倶楽部,OUT,ベント,ダイヤモンド,2004.11.29,IN,ベント,ダイヤモンド,2004.11.29,72,5169,65.2,111
29,5662,5662,足柄森林カントリー倶楽部,OUT,Aグリーン,バック,2015.09.09,IN,Aグリーン,バック,2015.09.09,72,6475,71.0,127
30,5663,5663,足柄森林カントリー倶楽部,OUT,Aグリーン,レギュラー,2015.09.09,IN,Aグリーン,レギュラー,2015.09.09,72,6045,68.9,124
31,5664,5664,足柄森林カントリー倶楽部,OUT,Aグリーン,レディース,2015.09.09,IN,Aグリーン,レディース,2015.09.09,72,5028,64.3,112
