,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,コース１,コース１.1,コース１.2,コース１.3,コース2,コース2.1,コース2.2,コース2.3,Par,Yards,CourseRating,SlopeRating
17,6483,6483,知多カントリー倶楽部,西,Aグリーン,バック,2009.03.18,中,Aグリーン,バック_,2009.03.18,72,6485,76.5,137
18,6484,6484,知多カントリー倶楽部,西,Aグリーン,レギュラー,2009.03.18,中,Aグリーン,レギュラー,2009.03.18,72,6054,74.3,132
19,6485,6485,知多カントリー倶楽部,西,Aグリーン,フロント,2009.03.18,中,Aグリーン,フロント,2009.03.18,72,6640,72.1,126
20,6486,6486,知多カントリー倶楽部,西,Aグリーン,レディース,2009.03.18,中,Aグリーン,レディース,2009.03.18,72,5474,71.1,123
21,6487,6487,知多カントリー倶楽部,西,Bグリーン,バック_,2009.03.18,中,Bグリーン,バック_,2009.03.18,72,6372,75.6,135
22,6488,6488,知多カントリー倶楽部,西,Bグリーン,レギュラー,2009.03.18,中,Bグリーン,レギュラー_,2009.03.18,72,5941,73.4,129
23,6489,6489,知多カントリー倶楽部,西,Bグリーン,フロント,2009.03.18,中,Bグリーン,フロント,2009.03.18,72,5530,71.3,124
24,6490,6490,知多カントリー倶楽部,西,Bグリーン,レディース,2009.03.18,中,Bグリーン,レディース,2009.03.18,72,5364,70.5,122
25,6491,6491,知多カントリー倶楽部,中,Aグリーン,バック,2009.03.18,東,Aグリーン,バック,2009.03.18,72,6628,77.1,139
26,6492,6492,知多カントリー倶楽部,中,Aグリーン,レギュラー,2009.03.18,東,Aグリーン,レギュラー,2009.03.18,72,6184,74.9,133
27,6493,6493,知多カントリー倶楽部,中,Aグリーン,フロント,2009.03.18,東,Aグリーン,フロント_,2009.03.18,72,5770,72.8,128
28,6494,6494,知多カントリー倶楽部,中,Aグリーン,レディース,2009.03.18,東,Aグリーン,レディース,2009.03.18,72,5598,71.7,125
29,6495,6495,知多カントリー倶楽部,中,Bグリーン,バック,2009.03.18,東,Bグリーン,バック,2009.03.18,72,6480,76.2,137
30,6496,6496,知多カントリー倶楽部,中,Bグリーン,レギュラー,2009.03.18,東,Bグリーン,レギュラー,2009.03.18,72,6036,73.9,131
31,6497,6497,知多カントリー倶楽部,中,Bグリーン,フロント,2009.03.18,東,Bグリーン,フロント,2009.03.18,72,5625,71.8,125
32,6498,6498,知多カントリー倶楽部,中,Bグリーン,レディース,2009.03.18,東,Bグリーン,レディース,2009.03.18,72,5453,71.0,123
33,6269,6269,岡崎カントリー倶楽部,OUT,Aグリーン,ブラック,2021.09.14,IN,Aグリーン,ブラック,2021.09.14,72,6114,76.3,137
34,6270,6270,岡崎カントリー倶楽部,OUT,Aグリーン,ブルー,2021.09.14,IN,Aグリーン,ブルー,2021.09.14,72,6020,75.9,135
35,6271,6271,岡崎カントリー倶楽部,OUT,Aグリーン,ホワイト,2021.09.14,IN,Aグリーン,ホワイト,2021.09.14,72,5618,73.2,131
36,6272,6272,岡崎カントリー倶楽部,OUT,Aグリーン,グリーン,2021.09.14,IN,Aグリーン,グリーン,2021.09.14,72,5225,71.2,128
37,6273,6273,岡崎カントリー倶楽部,OUT,Aグリーン,レッド,2021.09.14,IN,Aグリーン,レッド,2021.09.14,72,4480,67.0,117
38,6274,6274,岡崎カントリー倶楽部,OUT,Bグリーン,ブラック,2021.09.14,IN,Bグリーン,ブラック,2021.09.14,72,6459,78.3,141
39,6275,6275,岡崎カントリー倶楽部,OUT,Bグリーン,ブルー,2021.09.14,IN,Bグリーン,ブルー,2021.09.14,72,6365,77.8,140
40,6276,6276,岡崎カントリー倶楽部,OUT,Bグリーン,ホワイト,2021.09.14,IN,Bグリーン,ホワイト,2021.09.14,72,5963,75.2,139
41,6277,6277,岡崎カントリー倶楽部,OUT,Bグリーン,グリーン,2021.09.14,IN,Bグリーン,グリーン,2021.09.14,72,5570,72.8,133
42,6278,6278,岡崎カントリー倶楽部,OUT,Bグリーン,レッド,2021.09.14,IN,Bグリーン,レッド,2021.09.14,72,4825,68.5,126
43,9528,9528,北条カントリー倶楽部,OUT,ベント,フロント,2012.04.18,IN,ベント,フロント,2012.04.18,72,6112,75.0,131
44,9529,9529,北条カントリー倶楽部,OUT,ベント,ゴールド,2012.04.18,IN,ベント,ゴールド,2012.04.18,72,5542,71.8,124
45,9530,9530,北条カントリー倶楽部,OUT,ベント,レディース,2012.04.18,IN,ベント,レディース,2012.04.18,72,5169,69.5,121
46,9531,9531,北条カントリー倶楽部,OUT,ベント,ピンク,2012.04.18,IN,ベント,ピンク,2012.04.18,72,4895,68.0,118
47,9532,9532,北条カントリー倶楽部,OUT,ベント(サブ),フロント,2012.04.18,IN,ベント(サブ),フロント,2012.04.18,72,5766,72.7,123
48,9533,9533,北条カントリー倶楽部,OUT,ベント(サブ),ゴールド,2012.04.18,IN,ベント(サブ),ゴールド,2012.04.18,72,5226,69.5,118
49,9534,9534,北条カントリー倶楽部,OUT,ベント(サブ),レディース,2012.04.18,IN,ベント(サブ),レディース,2012.04.18,72,4837,67.7,114
50,9535,9535,北条カントリー倶楽部,OUT,ベント(サブ),ピンク,2012.04.18,IN,ベント(サブ),ピンク,2012.04.18,72,4532,65.6,109
