,Unnamed: 0,コース１,コース１.1,コース１.2,コース１.3,コース2,コース2.1,コース2.2,コース2.3,Par,Yards,CourseRating,SlopeRating
0,,コース,グリーン,ティー,査定日,コース,グリーン,ティー,査定日,Par,Yards,CourseRating,SlopeRating
1,阿寒カントリークラブ,まりも,ベント,バック,2013.08.30,丹頂,ベント,バック,2013.08.30,72,7102,80.9,149
2,阿寒カントリークラブ,まりも,ベント,レギュラー,2013.08.30,丹頂,ベント,レギュラー,2013.08.30,72,6560,77.9,142
3,阿寒カントリークラブ,まりも,ベント,フロント,2013.08.30,丹頂,ベント,フロント,2013.08.30,72,5997,74.8,136
4,阿寒カントリークラブ,まりも,ベント,ゴールド・レディース,2013.08.30,丹頂,ベント,ゴールド・レディース,2013.08.30,72,5511,72.1,131
5,阿寒カントリークラブ,丹頂,ベント,バック,2013.08.30,ピリカ,ベント,バック,2013.08.30,72,7045,83.1,152
6,阿寒カントリークラブ,丹頂,ベント,レギュラー,2013.08.30,ピリカ,ベント,レギュラー,2013.08.30,72,6336,79.1,147
7,阿寒カントリークラブ,丹頂,ベント,フロント,2013.08.30,ピリカ,ベント,フロント,2013.08.30,72,5826,76.3,142
8,阿寒カントリークラブ,丹頂,ベント,ゴールド・レディース,2013.08.30,ピリカ,ベント,ゴールド・レディース,2013.08.30,72,5327,73.5,137
9,阿寒カントリークラブ,ピリカ,ベント,バック,2013.08.30,まりも,ベント,バック,2013.08.30,72,7091,83.2,152
10,阿寒カントリークラブ,ピリカ,ベント,レギュラー,2013.08.30,まりも,ベント,レギュラー,2013.08.30,72,6336,79.0,145
11,阿寒カントリークラブ,ピリカ,ベント,フロント,2013.08.30,まりも,ベント,フロント,2013.08.30,72,5855,76.3,140
12,阿寒カントリークラブ,ピリカ,ベント,ゴールド・レディース,2013.08.30,まりも,ベント,ゴールド・レディース,2013.08.30,72,5612,75.0,138
13,旭川国際カントリークラブ,OUT,ベント,レギュラー,2012.05.18,IN,ベント,レギュラー,2012.05.18,72,6658,77.0,127
14,旭川国際カントリークラブ,OUT,ベント,フロント,2012.05.18,IN,ベント,フロント,2012.05.18,72,6455,76.0,125
15,旭川国際カントリークラブ,OUT,ベント,ゴールド,2012.05.18,IN,ベント,ゴールド,2012.05.18,72,5433,69.7,113
16,旭川国際カントリークラブ,OUT,ベント,レディース,2012.05.18,IN,ベント,レディース,2012.05.18,72,4826,67.3,111
17,旭川ゴルフ倶楽部,OUT,ベント,バック,2020.09.07,IN,ベント,バック,2020.09.07,70,6016,75.4,133
18,旭川ゴルフ倶楽部,OUT,ベント,レギュラー,2020.09.07,IN,ベント,レギュラー,2020.09.07,70,5723,73.8,130
19,旭川ゴルフ倶楽部,OUT,ベント,フロント,2020.09.07,IN,ベント,フロント,2020.09.07,70,5007,69.8,121
20,旭川ゴルフ倶楽部,OUT,ベント,レディース,2020.09.07,IN,ベント,レディース,2020.09.07,70,4336,66.1,113
21,旭川たかすゴルフクラブ,OUT,ベント,バック,2013.08.30,IN,ベント,バック,2013.08.30,72,6467,78.1,143
22,旭川たかすゴルフクラブ,OUT,ベント,レギュラー,2013.08.30,IN,ベント,レギュラー,2013.08.30,72,6095,76.0,139
23,旭川たかすゴルフクラブ,OUT,ベント,シルバー,2013.08.30,IN,ベント,シルバー,2013.08.30,72,5460,72.4,132
24,旭川たかすゴルフクラブ,OUT,ベント,レディース,2013.08.30,IN,ベント,レディース,2013.08.30,72,4956,69.7,125
25,旭川メモリアルカントリークラブ,OUT,ベント,バック,2016.08.27,IN,ベント,バック,2016.08.27,72,6741,79.3,144
26,旭川メモリアルカントリークラブ,OUT,ベント,レギュラー,2016.08.27,IN,ベント,レギュラー,2016.08.27,72,6240,76.5,138
27,旭川メモリアルカントリークラブ,OUT,ベント,フロント,2016.08.27,IN,ベント,フロント,2016.08.27,72,5831,74.5,133
