,しゃくなげ,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3N,4,4,3,4,4,5D,36
1,Back T.,568,387,180,483,371,219,333,342,525,3408
2,Reg.T.,547,367,157,441,357,201,317,325,492,3204
3,Ladies,454,333,131,254,272,133,302,307,400,2586
4,Hdcp,2,8,7,4,1,9,3,5,6,­
