,あかまつ,1,2,3,4,5,6,7,8,9,計
0,Par,4,5D,4,4,3N,4,4D,3N,5,36
1,C.T,363,535,404,347,160,435,381,222,511,3358
2,Back,363,535,404,320,160,413,381,206,511,3293
3,Reg.,337,491,384,312,135,413,334,148,477,3031
4,Front.,337,442,353,300,130,378,269,120,466,2795
5,Ladies1,337,413,353,296,130,378,269,120,440,2736
6,Ladies2,292,413,353,296,130,282,269,120,440,2595
7,Hdcp,5,8,4,3,6,1,7,2,9,­
