,しらかば,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5D,3N,4,4D,3N,5,4,36
1,Back T.,380,398,583,166,351,375,209,542,405,3409
2,Regular T.,365,375,562,150,338,357,189,521,386,3243
3,LADY,346,332,462,119,305,333,137,406,328,2768
4,Hdcp,8,5,2,7,4,1,6,9,3,­
