,すずらん,1,2,3,4,5,6,7,8,9,計
0,Par,4,5D,3N,4,4,4,4,5,3,36
1,Back T.,345,600,165,450,404,387,392,550,189,3482
2,Reg.T.,331,564,148,432,375,355,361,534,175,3275
3,Ladies,294,480,131,336,252,340,344,414,122,2713
4,Hdcp,5,2,8,1,4,7,3,9,6,­
