,りんどう,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5D,3N,4,3N,4,5D,4,36
1,Back T.,360,412,545,216,399,144,405,523,449,3453
2,Regular T.,340,388,521,196,380,129,392,509,415,3270
3,LADY,315,285,474,148,335,109,275,400,352,2693
4,Hdcp,8,2,5,1,4,7,9,6,3,­
