,ＩＮ,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3,4,4,4,4,3N,5D,36
1,.黒ティ,495,403,172,355,391,385,426,213,576,3416
2,.青ティ,476,383,158,333,365,362,400,173,550,3200
3,.白ティ,462,341,143,316,340,338,377,153,523,2993
4,.赤ティ,454,319,136,298,302,305,351,140,467,2772
5,サニーティ,342,222,136,229,243,270,287,140,404,2273
6,Hdcp,2,5,8,7,1,4,3,9,6,­
