,押立　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,3N,4,3,5D,3,4,34
1,Back,365,432,435,157,355,193,485,218,459,3099
2,Regular,346,401,416,137,324,160,462,193,459,2898
3,Front,330,401,391,137,324,146,462,183,423,2797
4,Prince,303,330,359,101,267,121,434,147,370,2432
5,Hdcp,15,9,1,13,7,3,17,11,5,­
