,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,4,5D,3N,4,3N,4D,5,36
1,Back,359,367,312,525,170,408,198,390,481,3210
2,REGULAR,340,345,297,502,151,388,175,368,461,3027
3,GOLD,330,340,288,480,143,377,150,360,403,2871
4,SILVER,295,327,279,434,143,363,150,360,365,2716
5,Hdcp,10,4,16,2,14,8,18,12,6,­
