,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,5,4D,3N,4,5D,4,3N,4,36
1,Back,338,456,335,172,468,531,398,149,418,3265
2,Regular,325,442,319,159,438,495,376,137,400,3091
3,Ladies,282,394,280,147,306,433,264,114,279,2499
4,Hdcp,8,4,14,16,10,2,6,18,12,­
