,入山　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,3N,4,3,5,4,4,4D,36
1,Back,369,531,204,384,165,591,364,401,441,3450
2,Regular,369,500,163,325,149,591,364,389,405,3255
3,Front,358,469,160,325,149,492,317,389,370,3029
4,Prince,358,469,142,284,115,492,317,313,317,2807
5,Hdcp,3,9,15,7,13,1,17,11,5,­
