,みまき,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,3N,5D,4,4,3,5,36
1,Back T.,439,401,368,138,529,372,378,177,474,3276
2,Reg.,420,344,345,128,510,350,352,167,446,3062
3,Front,346,289,291,128,445,268,270,148,353,2538
4,Hdcp,5,2,8,7,1,4,3,9,6,­
