,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,4,4,3N,4D,4,3,5,36
1,青,502,345,400,369,173,388,389,185,510,3261
2,白,484,328,367,352,152,363,370,159,486,3061
3,緑,469,313,352,337,137,348,355,144,471,2926
4,.赤.,459,306,343,293,105,304,353,134,437,2734
5,ハート,363,306,343,201,105,304,353,129,300,2404
6,Hdcp,10,16,2,8,14,4,6,18,12,­
