,森泉コース　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5,4,3,4,3N,5D,4,36
1,BLUE TEE,366,422,526,427,192,370,196,533,388,3420
2,GREEN TEE,338,400,492,403,170,349,178,520,368,3218
3,WHITE TEE,315,382,468,379,147,325,162,494,351,3023
4,GOLD TEE,282,367,432,353,130,300,136,456,319,2775
5,RED TEE,282,333,422,306,108,300,95,428,282,2556
6,Hdcp,15,7,3,1,13,11,17,5,9,­
