,入山　IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,3,4,4,5D,4,3N,4,4,36
1,Back,545,185,388,421,549,413,172,415,403,3491
2,Regular,527,173,379,390,531,387,141,394,382,3304
3,Front,504,173,379,390,531,387,141,394,346,3245
4,Prince,462,111,340,342,484,345,90,348,346,2868
5,Hdcp,10,16,4,8,2,14,18,12,6,­
