,森泉コース　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,5,3N,4,5D,4,3,4,4,36
1,BLUE TEE,400,530,207,397,542,390,195,354,412,3427
2,GREEN TEE,384,498,185,379,522,373,172,332,396,3241
3,WHITE TEE,355,479,164,357,497,346,140,310,368,3016
4,GOLD TEE,355,460,148,336,473,317,121,310,350,2870
5,RED TEE,331,426,128,278,456,292,101,294,328,2634
6,Hdcp,8,4,16,12,2,14,18,10,6,­
