,りんどう,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,5D,4,3N,5,3,4,36
1,Back T.,449,437,329,538,385,161,562,198,369,3428
2,Reg.T.,432,395,309,524,367,148,541,164,350,3230
3,Ladies,383,350,280,410,348,134,452,144,279,2780
4,Hdcp,5,2,9,8,1,4,6,7,3,­
