,ふじ,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,3N,4D,4,5,4,3,4,36
1,Back T.,440,471,180,398,378,538,389,170,419,3383
2,Reg.,426,448,151,371,357,498,347,139,404,3141
3,Front,403,374,115,292,276,422,267,115,393,2657
4,Hdcp,5,2,8,4,7,1,3,9,6,­
