,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5D,3N,5D,4,3N,4,4,36
1,Back,359,414,478,192,544,343,196,366,377,3269
2,Regular,343,388,466,158,528,334,167,347,366,3097
3,Ladies,329,265,442,125,465,294,133,259,299,2611
4,Hdcp,11,3,7,15,9,1,17,5,13,­
