,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,3,4,4,3N,4,4,5,36
1,バック,524,415,209,435,405,154,374,386,548,3450
2,レギュラー,498,382,160,401,384,133,351,345,510,3164
3,レディース,376,324,117,273,329,106,322,281,400,2528
4,Hdcp,14,10,12,2,4,18,16,8,6,­
