,すずらん,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,5D,4,4,3N,4,4,5D,36
1,Back T.,387,173,544,393,332,193,345,392,554,3313
2,Regular T.,333,145,517,364,311,170,325,379,522,3066
3,LADY,289,118,462,255,298,144,282,339,475,2662
4,Hdcp,5,8,2,1,4,7,9,6,3,­
