,押立　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3,5D,4,5,4,3N,6,38
1,Back,433,397,203,533,419,545,334,152,742,3758
2,Regular,411,362,175,499,383,545,334,136,715,3560
3,Front,342,329,155,499,383,490,306,120,698,3322
4,Prince,342,329,124,459,354,449,306,98,666,3127
5,Hdcp,4,10,16,12,8,2,12,18,6,­
