,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3N,5D,4,4,4,3,5,36
1,Back,416,369,159,515,361,400,378,190,575,3363
2,Reg.,396,349,136,471,336,378,356,173,515,3110
3,Front,378,338,136,454,326,378,334,160,498,3002
4,Ladys,358,318,114,406,303,345,309,144,435,2732
5,わくわくT,265,318,114,406,245,345,220,144,435,2492
6,Hdcp,10,4,16,2,14,8,6,18,12,­
