,白樺　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,4,4,5D,3N,4,5D,4,36
1,Back T.,443,210,421,344,618,221,427,552,459,3695
2,Reg.,411,180,400,325,591,203,396,536,440,3482
3,Front,375,141,367,325,503,185,340,459,366,3061
4,Ladies,375,115,367,325,503,136,340,459,366,2986
5,Hdcp,5,7,17,15,1,13,11,9,3,­
