,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3,4D,5,3N,4,4,5,36
1,Champion,386,429,221,398,588,168,452,365,532,3539
2,Back,368,408,185,377,548,151,404,340,475,3256
3,Reg.,360,400,160,360,493,131,396,337,455,3092
4,Front,350,348,138,346,404,125,349,337,455,2852
5,Ladies,350,304,138,346,404,125,306,266,455,2694
6,Hdcp,14,6,8,12,4,18,2,10,16,­
