,鳥取県
0,旭国際浜村温泉ゴルフ倶楽部湖山
1,鳥取カントリー倶楽部吉岡温泉コース
2,大山ゴルフクラブ
3,グリーンパーク大山ゴルフ倶楽部
4,旭国際浜村温泉ゴルフ倶楽部白兎
5,大山アークカントリークラブ
