,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3,4,5D,4,3N,4,4,5,36
1,Back,388,185,457,504,412,185,373,384,530,3418
2,Regular,365,173,440,488,400,170,367,364,500,3267
3,Front,343,152,385,458,382,153,360,348,460,3041
4,Hdcp,16,12,2,14,6,18,4,8,10,­
