,西,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,4,3,4,5D,4,5,36
1,Back,390,370,175,335,170,445,540,425,525,3375
2,Regular,380,350,160,325,155,430,510,385,515,3210
3,Front,340,325,145,295,135,400,430,375,475,2920
4,Ladies,275,230,130,295,125,290,360,285,375,2365
5,Hdcp,2,9,6,8,7,1,4,3,5,­
