,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5D,4,3N,4,4D,4,3N,5,4,36
1,BLUE,512,436,192,424,450,416,180,516,400,3526
2,WHITE,478,395,148,380,403,370,160,471,366,3171
3,GOLD,478,327,123,380,365,300,121,471,366,2931
4,RED,428,327,123,336,365,300,121,433,330,2763
5,Hdcp,16,6,14,4,2,10,18,12,8,­
