,筑紫野,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,4,4,5,5D,3,5,37
1,Back,418,417,194,413,449,458,571,233,586,3739
2,Regular,386,385,154,378,417,419,536,180,554,3409
3,Front,370,369,138,362,401,403,525,155,538,3261
4,Ladies,311,311,138,322,317,350,470,155,406,2780
5,Hdcp,13,5,17,15,1,3,11,7,9,­
