,中山　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,4,3,4,3N,5D,4,36
1,バック,510,450,397,315,139,444,231,528,340,3354
2,レギュラー,493,435,377,304,122,429,182,464,324,3130
3,レディス,390,388,299,290,109,350,123,333,283,2565
4,Hdcp,9,3,7,15,17,1,5,11,13,­
