,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3,4,5D,4,3N,4,4D,5,36
1,青,399,198,414,546,417,150,394,415,505,3438
2,白,344,179,394,505,385,124,360,378,455,3124
3,Hdcp,6,14,8,2,10,18,16,4,12,­
