,プリンス,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,5.0,4.0,4.0,3N,5.0,4D,4.0,3.0,36
1,Back T.,361.0,552.0,421.0,388.0,170,569.0,438,394.0,186.0,3479
2,Reg.,328.0,520.0,388.0,356.0,159,536.0,350,361.0,164.0,3162
3,Hdcp,,,,,,,,,,­
