,那珂,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,5,3,4,4,4,3N,5,36
1,Back,395,386,563,190,361,399,393,214,523,3424
2,Reg.,374,357,550,180,325,381,379,202,499,3247
3,Hdcp,4,12,16,14,8,2,6,10,18,­
