,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3N,5,4,5D,4,3N,4,4,36
1,BLUE,371,226,547,459,512,381,207,358,354,3415
2,WHITE,360,155,525,448,491,360,150,343,337,3169
3,RED,346,138,405,430,459,338,140,323,318,2897
4,Hdcp,17,9,3,1,11,5,13,7,15,­
