,キング,1,2,3,4,5,6,7,8,9,計
0,Par,5.0,4.0,4.0,3N,4.0,4.0,3.0,5D,4.0,36
1,Back T.,487.0,416.0,394.0,154,372.0,416.0,219.0,591,426.0,3475
2,Reg.,454.0,383.0,361.0,137,339.0,383.0,197.0,558,394.0,3206
3,Hdcp,,,,,,,,,,­
