,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,4D,3,4,5,4,3N,5,36
1,Back,408,343,398,128,385,517,408,162,536,3285
2,REGULAR,384,325,375,113,363,491,381,124,512,3068
3,LADIES,288,303,282,94,317,426,353,78,471,2612
4,Hdcp,4,10,14,18,12,2,8,16,6,­
