,玄海,1,2,3,4,5,6,7,8,9,計
0,Par,5,3N,4,5D,3,4,4,4,4,36
1,Back T.,506,233,359,480,205,414,424,350,348,3319
2,Reg.,491,189,340,465,165,382,399,340,334,3105
3,Ladies,450,119,316,409,120,320,333,296,266,2629
4,Hdcp,4,2,7,5,6,3,1,9,8,­
