,◎　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4D,5,3N,4,4,4,3,5,36
1,Champion,384,402,571,217,412,393,446,201,557,3583
2,Back,358,376,525,190,384,368,408,177,528,3314
3,Front,332,347,487,156,350,336,373,150,491,3022
4,Ladies,309,319,454,135,318,310,340,127,457,2769
5,Hdcp,17,9,5,15,3,13,1,11,7,­
