,背振,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3,4,5D,4,4,3,4,36
1,Back,506,418,156,375,511,378,445,165,384,3338
2,Reg.,486,383,127,348,493,344,435,150,374,3140
3,Hdcp,13,3,15,1,17,7,5,11,9,­
