,松,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4,3,4,5,4D,4,3N,36
1,Back,408,529,344,189,363,501,402,390,178,3304
2,Regular,386,512,330,179,349,481,382,378,164,3161
3,Ladies,356,453,296,102,318,445,297,240,95,2602
4,Hdcp,6,3,9,4,1,7,2,5,8,­
