,桧,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,4,4,5,4,3,4,5D,36
1,Back,401,196,385,327,610,420,178,318,571,3406
2,Regular,378,167,367,305,574,396,161,311,534,3193
3,Ladies,357,150,357,289,504,378,152,268,511,2966
4,Hdcp,3,9,6,7,1,4,5,8,2,­
