,南,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,4,4,3,5D,5,4,4,36
1,Back,410,165,365,455,175,505,500,430,390,3395
2,Regular,400,150,355,420,165,495,480,410,380,3255
3,Front,380,140,320,390,145,465,455,390,360,3045
4,Ladies,265,125,265,345,100,370,340,280,285,2375
5,Hdcp,3,9,6,1,5,7,8,2,4,­
