,東,1,2,3,4,5,6,7,8,9,計
0,Par,5,3,4,4,4,4,5D,4,3N,36
1,Back,500,200,340,400,390,460,570,340,190,3390
2,Regular,490,190,330,390,375,410,555,300,160,3200
3,Front,465,150,315,370,340,375,525,280,140,2960
4,Ladies,405,115,215,275,235,290,400,260,125,2320
5,Hdcp,5,4,8,9,6,1,2,7,3,­
