,杉,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,3,4D,4,5,3N,4,36
1,Back,498,331,377,130,366,336,481,189,291,2999
2,Regular,467,318,366,113,340,322,466,162,273,2827
3,Ladies,462,264,366,113,315,301,402,133,250,2606
4,Hdcp,9,3,6,4,1,7,2,8,5,­
