,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3,5,4,4,5,3N,4,36
1,バック,406,312,201,597,336,435,483,188,369,3327
2,レギュラー,378,292,165,571,321,413,463,163,348,3114
3,レディース,334,280,165,554,318,317,463,135,338,2904
4,Hdcp,4,10,16,2,14,8,18,12,6,­
