,西,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,4,4D,3N,4,3,5,36
1,Back,524,368,358,385,357,180,390,205,608,3375
2,Reg,494,353,328,367,336,165,375,180,580,3178
3,Front,484,326,304,343,307,150,359,165,550,2988
4,Hdcp,5,7,8,3,6,9,2,4,1,­
