,クィーン,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,4.0,5.0,3.0,4.0,5D,4.0,3N,4.0,36
1,Back T.,383.0,394.0,525.0,196.0,416.0,580,361.0,175,432.0,3462
2,Reg.,350.0,361.0,492.0,170.0,383.0,547,328.0,153,400.0,3184
3,Hdcp,,,,,,,,,,­
