,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,4,5,4,3N,4,5D,4,36
1,Back,399,189,426,550,406,182,332,540,423,3447
2,REGULAR,384,173,426,534,358,169,316,521,414,3295
3,FRONT,358,138,369,518,343,145,300,496,390,3057
4,LADIES,335,118,355,475,343,145,300,471,310,2852
5,Hdcp,9,13,5,1,15,17,7,3,11,­
