,筑紫野カントリークラブ　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3,4,4D,4,3N,4,5,36
1,Back,528,395,206,363,390,411,165,415,493,3366
2,Reg.,503,375,192,348,373,379,145,384,467,3166
3,Hdcp,17,11,5,7,9,3,15,1,13,­
