,グリーン,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,5,4,3,4,4,3N,4D,36
1,バック,519,407,519,361,217,436,398,184,396,3437
2,レギュラー,501,390,505,334,196,409,384,165,373,3257
3,フロント,475,375,491,320,155,388,366,152,353,3075
4,Hdcp,4,8,2,7,5,1,3,9,6,­
