,朝倉,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,3N,4D,4,5,3,5,36
1,Back,312,421,434,187,429,409,575,250,595,3612
2,Regular,272,386,392,159,397,363,527,176,549,3221
3,Front,252,366,376,137,381,341,511,151,533,3048
4,Ladies,252,357,329,137,332,294,467,151,406,2725
5,Hdcp,18,14,2,10,16,12,8,4,6,­
