,南,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3,4,5,3N,5,4D,4,36
1,Back,401,373,190,406,526,182,590,458,439,3565
2,Reg,380,342,168,396,516,178,568,391,420,3359
3,Front,370,326,158,363,503,166,538,371,402,3197
4,Hdcp,7,9,6,2,4,8,3,1,5,­
