,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,4,3,4,5D,4,3N,4,36
1,Back,516,391,430,215,435,544,378,197,394,3500
2,Reg.,484,376,399,187,369,485,370,175,368,3213
3,Gold,473,350,323,178,303,472,289,153,304,2845
4,Hdcp,12,14,2,6,4,8,18,10,16,­
