,ブルー,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,5,4,3N,4,4,5D,4,36
1,バック,396,177,568,375,203,351,450,575,420,3515
2,レギュラー,376,165,537,353,170,332,430,552,404,3319
3,フロント,370,151,517,330,150,315,372,487,339,3031
4,Hdcp,6,8,2,7,5,9,1,3,4,­
