,筑紫,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,3,4,5D,3N,4,4,4,36
1,Back T.,315,492,190,324,508,102,322,305,399,2957
2,Reg.,310,481,169,308,488,102,305,294,378,2835
3,Ladies,296,361,115,308,428,102,294,223,270,2397
4,Hdcp,8,7,2,4,1,9,5,3,6,­
