,北,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,4,3,4,5,4,4D,5,36
1,Back,370,168,369,196,424,603,392,386,544,3452
2,Reg,354,156,349,180,400,578,371,374,521,3283
3,Front,337,140,330,164,376,546,345,354,496,3088
4,Hdcp,6,9,7,8,2,1,4,5,3,­
