,遠賀,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,4D,3N,4,3,4,5,36
1,Back T.,495,372,335,342,149,328,118,334,508,2981
2,Reg.,480,338,324,336,130,309,105,319,474,2815
3,Ladies,463,317,251,312,115,284,91,319,417,2569
4,Hdcp,5,1,4,7,8,6,9,2,3,­
