,中山　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,5,4,3N,4,4,5,3,4D,36
1,バック,350,489,361,183,335,410,639,206,405,3378
2,レギュラー,330,472,350,167,308,391,617,190,388,3213
3,レディス,286,432,355,169,231,249,359,155,300,2536
4,Hdcp,14,10,18,12,16,4,2,8,6,­
