,七又　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,5,4,3,5D,4,3N,36
1,バック,386,395,441,591,327,210,572,388,159,3469
2,レギュラー,373,375,429,563,310,191,550,377,138,3306
3,レディス,310,351,318,448,294,140,464,349,130,2804
4,Hdcp,3,15,7,1,17,5,9,11,13,­
